"date","inst","party","value","color"
2017-07-07,"FGW","cdu",40,"#373737"
2017-07-07,"FGW","spd",24,"#DB4240"
2017-07-07,"FGW","gru",8,"#4BA345"
2017-07-07,"FGW","fdp",8,"#FFC700"
2017-07-07,"FGW","lin",9,"#96276E"
2017-07-07,"FGW","afd",7,"#34A3D2"
2017-07-08,"Emnid","cdu",38,"#373737"
2017-07-08,"Emnid","spd",25,"#DB4240"
2017-07-08,"Emnid","gru",8,"#4BA345"
2017-07-08,"Emnid","fdp",8,"#FFC700"
2017-07-08,"Emnid","lin",9,"#96276E"
2017-07-08,"Emnid","afd",7,"#34A3D2"
2017-07-06,"Infratestdimap","cdu",39,"#373737"
2017-07-06,"Infratestdimap","spd",23,"#DB4240"
2017-07-06,"Infratestdimap","lin",9,"#96276E"
2017-07-06,"Infratestdimap","gru",8,"#4BA345"
2017-07-06,"Infratestdimap","fdp",9,"#FFC700"
2017-07-06,"Infratestdimap","afd",9,"#34A3D2"
2017-07-01,"Emnid","cdu",39,"#373737"
2017-07-01,"Emnid","spd",24,"#DB4240"
2017-07-01,"Emnid","gru",8,"#4BA345"
2017-07-01,"Emnid","fdp",8,"#FFC700"
2017-07-01,"Emnid","lin",9,"#96276E"
2017-07-01,"Emnid","afd",7,"#34A3D2"
2017-07-05,"Forsa","cdu",39,"#373737"
2017-07-05,"Forsa","spd",23,"#DB4240"
2017-07-05,"Forsa","gru",8,"#4BA345"
2017-07-05,"Forsa","fdp",8,"#FFC700"
2017-07-05,"Forsa","lin",9,"#96276E"
2017-07-05,"Forsa","afd",7,"#34A3D2"
2017-07-03,"INSA","cdu",36.5,"#373737"
2017-07-03,"INSA","spd",25,"#DB4240"
2017-07-03,"INSA","gru",6.5,"#4BA345"
2017-07-03,"INSA","fdp",9,"#FFC700"
2017-07-03,"INSA","lin",10.5,"#96276E"
2017-07-03,"INSA","afd",9,"#34A3D2"
2017-06-20,"Allensbach","cdu",40,"#373737"
2017-05-26,"Allensbach","cdu",37,"#373737"
2017-04-25,"Allensbach","cdu",36,"#373737"
2017-03-28,"Allensbach","cdu",34,"#373737"
2017-02-22,"Allensbach","cdu",33,"#373737"
2017-01-26,"Allensbach","cdu",36,"#373737"
2016-12-22,"Allensbach","cdu",35.5,"#373737"
2016-11-16,"Allensbach","cdu",34,"#373737"
2016-10-20,"Allensbach","cdu",33,"#373737"
2016-09-22,"Allensbach","cdu",33.5,"#373737"
2016-08-24,"Allensbach","cdu",34.5,"#373737"
2016-07-21,"Allensbach","cdu",35.5,"#373737"
2016-06-15,"Allensbach","cdu",33.5,"#373737"
2016-05-17,"Allensbach","cdu",33.5,"#373737"
2016-04-20,"Allensbach","cdu",33.5,"#373737"
2016-03-18,"Allensbach","cdu",35,"#373737"
2016-02-17,"Allensbach","cdu",33.5,"#373737"
2016-01-26,"Allensbach","cdu",35,"#373737"
2015-12-16,"Allensbach","cdu",38,"#373737"
2015-11-19,"Allensbach","cdu",37.5,"#373737"
2015-10-20,"Allensbach","cdu",38,"#373737"
2015-09-16,"Allensbach","cdu",42,"#373737"
2015-08-19,"Allensbach","cdu",41.5,"#373737"
2015-07-16,"Allensbach","cdu",40.5,"#373737"
2015-06-18,"Allensbach","cdu",41.5,"#373737"
2015-05-21,"Allensbach","cdu",41.5,"#373737"
2015-04-16,"Allensbach","cdu",40.5,"#373737"
2015-03-19,"Allensbach","cdu",41.5,"#373737"
2015-02-19,"Allensbach","cdu",41,"#373737"
2015-01-28,"Allensbach","cdu",41.5,"#373737"
2014-12-17,"Allensbach","cdu",40.5,"#373737"
2014-11-19,"Allensbach","cdu",40.5,"#373737"
